Word,Color,Freq,Percentage,Type
Nice,Lilac,1,1%,Positive
Nice,Light blue,1,1%,Positive
Nice,Indigo,1,1%,Positive
Passion,Red,79,77%,Positive
Passion,Pink,6,6%,Positive
Passion,White,4,4%,Positive
Passion,Blue,4,4%,Positive
Passion,Yellow,3,3%,Positive
Passion,Purple,2,2%,Positive
Passion,Green,1,1%,Positive
Passion,Black,1,1%,Positive
Passion,Dark red,1,1%,Positive
Passion,Scarlett,1,1%,Positive
Proud,Blue,28,27%,Positive
Proud,Red,21,21%,Positive
Proud,Yellow,16,16%,Positive
Proud,White,10,10%,Positive
Proud,Purple,8,8%,Positive
Proud,Orange,5,5%,Positive
Proud,Green,4,4%,Positive
Proud,Black,3,3%,Positive
Proud,Pink,2,2%,Positive
Proud,Gold,2,2%,Positive
Proud,Beige,1,1%,Positive
Proud,Peach,1,1%,Positive
Proud,Misty rose,1,1%,Positive
Relaxed,Blue,43,42%,Positive
Relaxed,White,14,14%,Positive
Relaxed,Yellow,12,12%,Positive
Relaxed,Pink,6,6%,Positive
Relaxed,Green,6,6%,Positive
Relaxed,Red,4,4%,Positive
Relaxed,Purple,3,3%,Positive
Relaxed,Light blue,3,3%,Positive
Relaxed,Tan,2,2%,Positive
Relaxed,Sky blue,2,2%,Positive
Relaxed,Gray,1,1%,Positive
Relaxed,Brown,1,1%,Positive
Relaxed,Peach,1,1%,Positive
Relaxed,Lavender,1,1%,Positive
Relaxed,Off white,1,1%,Positive
Relaxed,Forest green,1,1%,Positive
Relaxed,Baby blue,1,1%,Positive
Safe,White,31,30%,Positive
Safe,Blue,30,29%,Positive
Safe,Yellow,10,10%,Positive
Safe,Green,8,8%,Positive
Safe,Gray,6,6%,Positive
Safe,Red,5,5%,Positive
Safe,Black,4,4%,Positive
Safe,Pink,2,2%,Positive
Safe,Purple,1,1%,Positive
Safe,Brown,1,1%,Positive
Safe,Orange,1,1%,Positive
Safe,Gold,1,1%,Positive
Safe,Beige,1,1%,Positive
Safe,Pale blue,1,1%,Positive
Satisfied,Blue,33,33%,Positive
Satisfied,Red,18,18%,Positive
Satisfied,Yellow,14,14%,Positive
Satisfied,White,11,11%,Positive
Satisfied,Green,9,9%,Positive
Satisfied,Pink,7,7%,Positive
Satisfied,Orange,4,4%,Positive
Satisfied,Purple,1,1%,Positive
Satisfied,Black,1,1%,Positive
Satisfied,Gold,1,1%,Positive
Satisfied,Lime green,1,1%,Positive
Secure,Blue,27,27%,Positive
Secure,White,23,23%,Positive
Secure,Red,14,14%,Positive
Secure,Yellow,9,9%,Positive
Secure,Green,8,8%,Positive
Secure,Gray,5,5%,Positive
Secure,Black,3,3%,Positive
Secure,Gold,3,3%,Positive
Secure,Silver,2,2%,Positive
Secure,Pink,1,1%,Positive
Secure,Purple,1,1%,Positive
Secure,Brown ,1,1%,Positive
Secure,Orange,1,1%,Positive
Secure,Light blue,1,1%,Positive
Secure,Salmon,1,1%,Positive
Secure,Sapphire,1,1%,Positive
Surprised,Red,32,32%,Positive
Surprised,Yellow,26,26%,Positive
Surprised,White,9,9%,Positive
Surprised,Blue,8,8%,Positive
Surprised,Orange,8,8%,Positive
Surprised,Pink,7,7%,Positive
Surprised,Green,3,3%,Positive
Surprised,Purple,2,2%,Positive
Surprised,Black,1,1%,Positive
Surprised,Violet,1,1%,Positive
Surprised,Gold,1,1%,Positive
Surprised,Silver,1,1%,Positive
Triumphant,Yellow,26,26%,Positive
Triumphant,Red,22,22%,Positive
Triumphant,Blue,11,11%,Positive
Triumphant,Gold,10,10%,Positive
Triumphant,White,6,6%,Positive
Triumphant,Purple,5,5%,Positive
Triumphant,Green,4,4%,Positive
Triumphant,Black,4,4%,Positive
Triumphant,Gray,3,3%,Positive
Triumphant,Brown,3,3%,Positive
Triumphant,Pink,2,2%,Positive
Triumphant,Orange,2,2%,Positive
Triumphant,Silver,2,2%,Positive
Triumphant,Bronze,1,1%,Positive
